Andhra Pradesh,published,Karnataka,Kerala,Tamil Nadu,Telangana,Bengaluru,Chennai,Coimbatore,Delhi,Hyderabad,Kochi,Kolkata,Mumbai,Kozhikode,Madurai,Mangaluru,Puducherry,Thiruvananthapuram,Tiruchirapalli,Vijayawada,Visakhapatnam,Lucknow,Pune,Chandigarh,Ludhiana,Gujarat,Dehradun,Indore,Jaipur,Noida,Patna,Ranchi,National,Bangalore,Ahemdabad,Allahabad,Bhubaneswar,Gurgaon,Guwahati,Hubli,Kanpur,Mangalore,Mysore,Goa,Nagpur,Rajkot,Surat,Vadodara,Varanasi,Thane,Maharashtra,Jammu and Kashmir
https://www.thehindu.com/news/national/andhra-pradesh/ganja-worth-9034-cr-destroyed-seb-chief/article38066907.ece,"Wed, 29 Dec 2021 23:45:21 +0530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thehindu.com/news/national/andhra-pradesh/no-covid-deaths-reported-in-ap/article38066611.ece,"Wed, 29 Dec 2021 23:03:11 +0530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thehindu.com/news/national/andhra-pradesh/three-foreign-returnee-contacts-among-10-more-omicron-cases-in-ap/article38064784.ece,"Wed, 29 Dec 2021 19:27:04 +0530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thehindu.com/news/national/andhra-pradesh/contractors-protest-delay-in-clearance-of-bills/article38064498.ece,"Wed, 29 Dec 2021 18:55:16 +0530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thehindu.com/news/national/andhra-pradesh/dont-opt-for-vrs-discom-cmd-tells-diploma-engineers/article38063538.ece,"Thu, 30 Dec 2021 07:33:45 +0530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thehindu.com/news/national/andhra-pradesh/tdp-president-chandrababu-naidu-writes-letter-to-dgp/article38061259.ece,"Wed, 29 Dec 2021 14:51:00 +0530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 17:35:14 +0530",https://www.thehindu.com/news/national/karnataka/serial-accident-on-highway-in-nelamangala/article38070585.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 10:45:59 +0530",https://www.thehindu.com/news/national/karnataka/the-dispute-over-belagavi/article38069096.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 01:48:19 +0530",https://www.thehindu.com/news/national/karnataka/govt-move-to-amend-rguhs-act-opposed/article38067525.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 01:47:19 +0530",https://www.thehindu.com/news/national/karnataka/every-district-will-have-karmika-bhavan-cm/article38067522.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 01:46:43 +0530",https://www.thehindu.com/news/national/karnataka/ban-order-under-section-144-of-crpc-imposed/article38067514.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 01:46:11 +0530",https://www.thehindu.com/news/national/karnataka/flood-alert-issued-in-border-villages/article38067512.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
